1	2011.10.02	乃木坂46ついにデビュー 自己紹介
2	2011.10.09	乃木坂46七福神決定!!7人のキャッチフレーズを考えよう!
3	2011.10.16	選抜以外の18名をアイドルマスター有野が徹底分析！
4	2011.10.23	新たなメンバー登場！全メンバー抜き打ち体力測定！
5	2011.10.30	アイドル適性テストに挑戦!
6	2011.11.06	乃木坂４６お見立て会の楽屋に大潜入！
7	2011.11.13 	初グルメレポートでおバカコメント連発
8	2011.11.20 	初めての女優体験！メンバー演技初披露
9	2011.11.27	私服おしゃれチェック　ダンス初披露！
10	2011.12.04 	上京メンバー都内ロケ　番田舎者は誰？
11	2011.12.11	はじめてのリアクション体験で絶叫連発
12	2011.12.18 	料理の腕前チェック！乃木坂に重大発表
13	2011.12.25	クリスマスゲーム大会　暴露合戦が勃発！
14	2012.01.08 	選抜メンバーが決定！涙涙の大発表ＳＰ
15	2012.01.15	メンバーを個人面談！あの曲を初披露！
16	2012.01.22	もしも乃木坂が大物芸能人に出会ったら
17	2012.01.29	テレビ初出し！メンバーガチ特技披露！！
18	2012.02.05	メンバーの手相を診断　リーダー決定！
19	2012.02.12	ハプニング続出！過酷すぎるPRツアー
20	2012.02.19	全国８都市弾丸ＰＲツアー！涙の後半戦
21	2012.02.26	深層心理丸裸の心理テストを実施！
22	2012.03.04	乃木坂４６がお笑いの王道である大喜利に初挑戦!!
23	2012.03.11	乃木坂４６結成から現在までを振り返る乃木坂ヒストリー。
24	2012.03.18	セカンドシングルの選抜メンバーを発表
25	2012.03.25	メンバーによるタレこみ企画
26	2012.04.01	初めての本格コントに挑戦！
27	2012.04.08	乃木坂４６が女子アナに挑戦
28	2012.04.15	乃木坂４６がはじめてのドッキリに挑戦！
29	2012.04.22	モデル力をチェック！
30	2012.04.29	選抜メンバーがプロモーションのため、指原の出身地・大分県へ！
31	2012.05.06	使えるエピソードトークを身に付けよう！
32	2012.05.13	乃木坂４６エピソードトークチェック!
33	2012.05.20	メンバーは日村の機嫌を直すことが出来るのか？
34	2012.05.27	メンバーの知られざる一面を大検証！
35	2012.06.03	若月・岩瀬の生誕祭／抜き打ちファッションチェック
36	2012.06.10	バラエティ番組の定番ゲームに挑戦！
37	2012.06.17	サードシングルの選抜メンバー発表！
38	2012.06.24	「激辛占い」＆「生駒の服を買おう」の豪華２本立て！
39	2012.07.01	日村が苦手な３人が手料理でおもてなし！
40	2012.07.08	夏を先取り！乃木坂怪談
41	2012.07.15	日村の自腹ショッピングパート２！ 
42	2012.07.22	3rdシングル発売に向け、初の合宿を実施！
43	2012.07.29	ハプニング続出の乃木坂キャンプ合宿第2段！
44	2012.08.05	乃木坂キャンプ合宿最終章
45	2012.08.12	「シングル、自分たちでプロモーションしてきなさい企画」第3弾！
46	2012.08.19	サードシングル地方キャンペーン！パート２
47	2012.08.26	大生誕祭スペシャル！！
48	2012.09.02	秋先取り！乃木坂大運動会を開催！
49	2012.09.09	新曲「走れ！Bicycle」のスタジオ収録を賭けた 乃木坂大運動会第２幕！
50	2012.09.16	秋の大運動会最終章！
