秋元真夏	埼玉県	28	ショート
生田絵梨花	デュッセルドルフ	24	ショート
齋藤飛鳥	東京都	23	ロング
高山一実	千葉県	27	ロング
樋口日奈	東京都	23	ショート
星野みなみ	千葉県	23	ロング
和田まあや	広島県	23	ショート
北野日奈子	北海道	25	ロング
新内眞衣	埼玉県	29	ロング
鈴木絢音	秋田県	22	ショート
寺田蘭世	東京都	23	ロング
山崎怜奈	東京都	24	ショート
伊藤理々杏	沖縄県	18	ロング
岩本蓮加	東京都	17	ロング
梅澤美波	神奈川県	22	ロング
久保史緒里	宮城県	20	ロング
阪口珠美	東京都	19	ロング
佐藤楓	愛知県	23	ロング
中村麗乃	東京都	19	ロング
向井葉月	東京都	22	ショート
山下美月	東京都	22	ショート
吉田綾乃クリスティー	大分県	26	ロング
与田祐希	福岡県	21	ショート
遠藤さくら	愛知県	19	ショート
賀喜遥香	栃木県	20	ロング
掛橋沙耶香	岡山県	18	ショート
金川紗耶	北海道	19	ロング
北川悠理	カリフォルニア州	20	ショート
黒見明香	東京都	17	ロング
佐藤璃果	岩手県	20	ロング
柴田柚菜	千葉県	18	ショート
清宮レイ	埼玉県	18	ショート
田村真佑	埼玉県	22	ロング
筒井あやめ	愛知県	17	ロング
早川聖来	大阪府	21	ショート
林瑠奈	神奈川県	17	ショート
松尾美佑	千葉県	17	ロング
矢久保美緒	東京都	19	ロング
弓木奈於	京都府	22	ロング
